event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,possible,,,player_intel,Possibwe food showtage $onOrAt $market,Anawysis of the intewwigence gained fwom intewcepted comms and othew souwces suggests that a food showtage is wikewy to occuw $onOrAt $market within a few weeks.,Incweased food pwices and weduced stabiwity $onOrAt $market if the showtage occuws.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,,,player_intel,Wikewy food showtage $onOrAt $market,Anawysis of the intewwigence gained fwom intewcepted comms and othew souwces suggests that a food showtage is aww but cewtain to occuw $onOrAt $market within a few weeks.,Incweased food pwices and weduced stabiwity $onOrAt $market if the showtage occuws.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,HOSTILE,hegemony_internal,Wikewy food showtage $onOrAt $market,"This wepowt indicates that a food showtage is aww but cewtain to occuw $onOrAt $market, and advises units in the awea on what steps couwd be taken to maximize its impact.","Wewief fweet wikewy to be sent fwom a neawby staw system; intewcepting it wiww extend the showtage and fuwthew destabiwize $market.

Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,likely,0.5,FRIENDLY,hegemony_internal,Wikewy food showtage $onOrAt $market,"This wepowt indicates that a food showtage is aww but cewtain to occuw $onOrAt $market, and advises units to stand by to pwovide assistance.",Dewivewing enough food to $market quickwy wiww weduce the duwation and impact of the showtage.,,graphics/icons/markets/food_shortage.png,,,
food_shortage,start,,,news,Food showtage $onOrAt $market,"The wepowt discusses the food showtage $onOrAt $market and pwovides a bawanced pewspective, but faiws to pinpoint a specific cause. The most wikewy cuwpwit appeaws to be a cascading ewwow in a detewiowating wogistics system.","Incweased food pwices $onOrAt $market.

Stabiwity weduced by $stabilityPenalty.

Appwoximatewy $neededFood units of food needed to end showtage.
Wewief fweet wikewy to be sent fwom a neawby staw system.

Incweased weputation impact fwom sewwing food. Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,HOSTILE,hegemony_public,Cwiticaw food showtage $onOrAt $market,"The wepowt indicates the food showtage $onOrAt $market is unusuawwy sevewe, and accuses $theMarketFaction administwation of pwecipitating a humanitawian cwisis.","Incweased food pwices $onOrAt $market.

Stabiwity weduced by $stabilityPenalty.

Appwoximatewy $neededFood units of food needed to end showtage.

Wewief fweet wikewy to be sent fwom a neawby staw system.

Incweased weputation impact fwom sewwing food. Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,start,0.25,SELF,hegemony_public,Awweged food showtage $onOrAt $market,"The wepowt fwatwy denies any wumouws of a food showtage $onOrAt $market, and encouwages wesponsibwe citizens to do theiw pawt by wepowting anyone suspected of spweading mawicious wumouws.","Incweased food pwices $onOrAt $market.

Stabiwity weduced by $stabilityPenalty.

Appwoximatewy $neededFood units of food needed to end showtage.

Wewief fweet wikewy to be sent fwom a neawby staw system.

Incweased weputation impact fwom sewwing food. Sewwing food on bwack mawket wiww incwease post-showtage unwest.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,warning_relief,,,player_intel,Food showtage $onOrAt $market: wewief being owganized on $reliefMarket,Comm twaffic anawysis indicates that a wewief fweet is being owganized at $reliefMarket in $reliefSystem and wiww be sent to $market in the neaw futuwe.,"Fweet is cawwying enough food to end the showtage.

If the fweet does not awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,HOSTILE,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Food showtage $onOrAt $market: wewief being owganized on $reliefMarket,"The wepowt indicates that a wewief fweet is being owganized at $reliefMarket in $reliefSystem, and is wikewy to get undewway within a few weeks.","Fweet is cawwying enough food to end the showtage.

If the fweet does not awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,warning_relief,0.5,FRIENDLY,"hegemony_internal,
tritachyon_internal,
sindrian_diktat_internal",Food showtage $onOrAt $market: wewief being owganized on $reliefMarket,"The wepowt indicates that a wewief fweet is being owganized at $reliefMarket in $reliefSystem, and is wikewy to get undewway within a few days. Neawby units awe advised to ensuwe the fweet awwives to its destination safewy.","Fweet is cawwying enough food to end the showtage.

If the fweet does not awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_sent,,,news,Food showtage $onOrAt $market: wewief sent fwom $reliefMarket,"A wewief fweet is undewway fwom $reliefMarket in the $reliefSystem system, and shouwd awwive in $marketSystem $eta.","Fweet is cawwying enough food to end the showtage.

If the fweet does not awwive as expected, the situation at $market wiww destabiwize fuwthew.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,relief_unavailable,,,news,Food showtage $onOrAt $market: conditions wowsen,"Whiwe thewe was specuwation eawwy on that a neighbowing wowwd might be abwe to send wewief, it appeaws no such aid is fowthcoming.",Unwest incweased by $stabilityPenaltyWewief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_aborted,,,news,Food showtage $onOrAt $market: wewief fweet tuwned back,"The wewief fweet fwom $reliefMarket was attacked on its way to $market, suffewed majow wosses, and was fowced to tuwn back. The food showtage contniues unabated.",Unwest incweased by $stabilityPenaltyWewief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_relief_arrived,,,news,Food showtage $onOrAt $market: wewief fweet awwived,"The wewief fweet fwom $reliefMarket has awwived, and the food showtage $onOrAt $market is ovew.","Unwest incweased by $stabilityPenaltyEnd.

Food pwices $onOrAt $market awe back to theiw nowmaw wevews.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,relief_lost,,,news,Food showtage $onOrAt $market: wewief fweet wost,"The wewief fweet fwom $reliefMarket did not awwive at its destination, and the food showtage contniues unabated.",Unwest incweased by $stabilityPenaltyWewief.,,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_expired,,,news,Food showtage $onOrAt $market ovew,"The wepowt indicates that the food showtage $onOrAt $market is now ovew. Vawious factows, incwuding stwict wationing, wiot-suppwession measuwes, and the awwivaw of sevewaw independent twadews, awe aww cwedited with ending the showtage.","Unwest incweased by $stabilityPenaltyExpiwe.
Food pwices $onOrAt $market awe back to theiw nowmaw wevews.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player,,,news,Food showtage $onOrAt $market ovew,"The wepowt indicates that the food showtage $onOrAt $market is now ovew. The awwivaw of a wewief fweet commaned by $$playerName is cwedited with ending the showtage, though a wocaw administwatow was quick to point out his own contwibutions.","Unwest incweased by $stabilityPenaltyEnd.
Food pwices $onOrAt $market awe back to theiw nowmaw wevews.",,graphics/icons/markets/food_shortage.png,prices,,
food_shortage,end_player_black,,,news,Food showtage $onOrAt $market ovew,"The wepowt indicates that the food showtage $onOrAt $market is now ovew. Unfowtunatewy, much of the food wewief distwibution was handwed by cwiminaw ewements, stwengthening theiw position and undewmining wocaw authowities both financiawwy and in the eyes of the popuwation.","Unwest incweased by $stabilityPenaltyEndBwack.

Food pwices $onOrAt $market awe back to theiw nowmaw wevews.",,graphics/icons/markets/food_shortage.png,,,
food_shortage,end_player_fast,,,news,Food showtage $onOrAt $market ovew,The wepowt indicates that the food showtage $onOrAt $market is now ovew. The timewy awwivaw of a wewief fweet commaned by $$playerName is cwedited with ending the showtage quickwy and mitigating its wong-tewm effects.,"No unwest incwease $onOrAt $market.

Food pwices $onOrAt $market awe back to theiw nowmaw wevews.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Smuggwing investigation $onOrAt $market,An encwyped message fwom one of youw contacts in $market's undewwowwd wawns you that $theMarketFaction authowities have waunched an investigation into the wecent smuggwing activity.,"If the investigation finds you invowved in the smuggwing, $theMarketFaction wiww become inhospitabwe towawds you.

$InvestigatorPost $investigatorName is chawged with cawwying out the investigation. You may be abwe to infwuence the outcome by contacting $invHimOrHer.

The investigation wiww wast fow $duration.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Smuggwing investigation $onOrAt $market - cweawed,"The $marketFaction smuggwing investigation is ovew, and it wooks wike youw name was cweawed - ow, at weast, thewe was no concwusive evidence to pwove youw invowvement.",Wewationship with $theMarketFaction is unaffected.,,,important,,
